,시즌,회차,상영일,평점
0,S1,E0 ,"May 1, 2006",6.5
1,S1,E1 ,"September 24, 2007",8.2
2,S1,E2 ,"October 1, 2007",8.2
3,S1,E3 ,"October 8, 2007",7.6
4,S1,E4 ,"October 15, 2007",8.0
5,S1,E5 ,"October 22, 2007",7.9
6,S1,E6 ,"October 29, 2007",8.3
7,S1,E7 ,"November 5, 2007",8.1
8,S1,E8 ,"November 12, 2007",8.2
9,S1,E9 ,"March 17, 2008",8.0
10,S1,E10 ,"March 24, 2008",8.0
11,S1,E11 ,"March 31, 2008",8.2
12,S1,E12 ,"April 14, 2008",7.8
13,S1,E13 ,"April 21, 2008",8.2
14,S1,E14 ,"April 28, 2008",8.0
15,S1,E15 ,"May 5, 2008",8.2
16,S1,E16 ,"May 12, 2008",8.3
17,S1,E17 ,"May 19, 2008",8.5
18,S2,E1 ,"September 22, 2008",8.2
19,S2,E2 ,"September 29, 2008",8.0
20,S2,E3 ,"October 6, 2008",8.7
21,S2,E4 ,"October 13, 2008",7.9
22,S2,E5 ,"October 20, 2008",8.3
23,S2,E6 ,"November 3, 2008",8.2
24,S2,E7 ,"November 10, 2008",8.6
25,S2,E8 ,"November 17, 2008",8.0
26,S2,E9 ,"November 24, 2008",8.1
27,S2,E10 ,"December 8, 2008",7.7
28,S2,E11 ,"December 15, 2008",9.1
29,S2,E12 ,"January 12, 2009",7.9
30,S2,E13 ,"January 19, 2009",7.9
31,S2,E14 ,"February 2, 2009",8.0
32,S2,E15 ,"February 9, 2009",8.8
33,S2,E16 ,"March 2, 2009",8.1
34,S2,E17 ,"March 9, 2009",8.1
35,S2,E18 ,"March 16, 2009",8.1
36,S2,E19 ,"March 30, 2009",8.1
37,S2,E20 ,"April 13, 2009",7.9
38,S2,E21 ,"April 27, 2009",8.5
39,S2,E22 ,"May 4, 2009",8.1
40,S2,E23 ,"May 11, 2009",8.2
41,S3,E1 ,"September 21, 2009",8.3
42,S3,E2 ,"September 28, 2009",7.8
43,S3,E3 ,"October 5, 2009",8.1
44,S3,E4 ,"October 12, 2009",8.0
45,S3,E5 ,"October 19, 2009",8.3
46,S3,E6 ,"November 2, 2009",7.4
47,S3,E7 ,"November 9, 2009",7.8
48,S3,E8 ,"November 16, 2009",8.9
49,S3,E9 ,"November 23, 2009",8.3
50,S3,E10 ,"December 7, 2009",8.4
51,S3,E11 ,"December 14, 2009",8.3
52,S3,E12 ,"January 11, 2010",8.3
53,S3,E13 ,"January 18, 2010",8.0
54,S3,E14 ,"February 1, 2010",8.4
55,S3,E15 ,"February 8, 2010",8.0
56,S3,E16 ,"March 1, 2010",8.2
57,S3,E17 ,"March 8, 2010",8.4
58,S3,E18 ,"March 22, 2010",8.4
59,S3,E19 ,"April 12, 2010",7.8
60,S3,E20 ,"May 3, 2010",8.1
61,S3,E21 ,"May 10, 2010",8.1
62,S3,E22 ,"May 17, 2010",9.0
63,S3,E23 ,"May 24, 2010",8.6
64,S4,E1 ,"September 23, 2010",8.7
65,S4,E2 ,"September 30, 2010",8.3
66,S4,E3 ,"October 7, 2010",7.9
67,S4,E4 ,"October 14, 2010",8.0
68,S4,E5 ,"October 21, 2010",7.7
69,S4,E6 ,"October 28, 2010",8.0
70,S4,E7 ,"November 4, 2010",8.0
71,S4,E8 ,"November 11, 2010",8.1
72,S4,E9 ,"November 18, 2010",8.4
73,S4,E10 ,"December 9, 2010",7.6
74,S4,E11 ,"December 16, 2010",8.7
75,S4,E12 ,"January 6, 2011",7.6
76,S4,E13 ,"January 20, 2011",8.2
77,S4,E14 ,"February 3, 2011",7.7
78,S4,E15 ,"February 10, 2011",7.7
79,S4,E16 ,"February 17, 2011",7.8
80,S4,E17 ,"February 24, 2011",7.9
81,S4,E18 ,"March 10, 2011",8.1
82,S4,E19 ,"March 31, 2011",8.0
83,S4,E20 ,"April 7, 2011",8.2
84,S4,E21 ,"April 28, 2011",8.2
85,S4,E22 ,"May 5, 2011",7.8
86,S4,E23 ,"May 12, 2011",8.0
87,S4,E24 ,"May 19, 2011",8.5
88,S5,E1 ,"September 22, 2011",8.0
89,S5,E2 ,"September 22, 2011",8.0
90,S5,E3 ,"September 29, 2011",7.7
91,S5,E4 ,"October 6, 2011",7.8
92,S5,E5 ,"October 13, 2011",8.0
93,S5,E6 ,"October 20, 2011",7.5
94,S5,E7 ,"October 27, 2011",8.5
95,S5,E8 ,"November 3, 2011",7.6
96,S5,E9 ,"November 10, 2011",8.1
97,S5,E10 ,"November 17, 2011",7.9
98,S5,E11 ,"December 8, 2011",7.3
99,S5,E12 ,"January 12, 2012",7.6
100,S5,E13 ,"January 19, 2012",8.1
101,S5,E14 ,"January 26, 2012",8.2
102,S5,E15 ,"February 2, 2012",7.7
103,S5,E16 ,"February 9, 2012",7.6
104,S5,E17 ,"February 16, 2012",7.8
105,S5,E18 ,"February 23, 2012",8.2
106,S5,E19 ,"March 8, 2012",8.1
107,S5,E20 ,"March 29, 2012",8.1
108,S5,E21 ,"April 5, 2012",8.5
109,S5,E22 ,"April 26, 2012",7.7
110,S5,E23 ,"May 3, 2012",8.1
111,S5,E24 ,"May 10, 2012",8.5
112,S6,E1 ,"September 27, 2012",7.6
113,S6,E2 ,"October 4, 2012",7.6
114,S6,E3 ,"October 11, 2012",7.9
115,S6,E4 ,"October 18, 2012",8.2
116,S6,E5 ,"October 25, 2012",8.0
117,S6,E6 ,"November 1, 2012",7.8
118,S6,E7 ,"November 8, 2012",7.6
119,S6,E8 ,"November 15, 2012",8.4
120,S6,E9 ,"November 29, 2012",8.2
121,S6,E10 ,"December 6, 2012",8.0
122,S6,E11 ,"December 13, 2012",7.8
123,S6,E12 ,"January 3, 2013",8.4
124,S6,E13 ,"January 10, 2013",8.4
125,S6,E14 ,"January 31, 2013",7.8
126,S6,E15 ,"February 7, 2013",8.2
127,S6,E16 ,"February 14, 2013",7.8
128,S6,E17 ,"February 21, 2013",7.6
129,S6,E18 ,"March 7, 2013",7.7
130,S6,E19 ,"March 14, 2013",8.1
131,S6,E20 ,"April 4, 2013",8.0
132,S6,E21 ,"April 25, 2013",8.0
133,S6,E22 ,"May 2, 2013",7.9
134,S6,E23 ,"May 9, 2013",8.1
135,S6,E24 ,"May 16, 2013",7.7
136,S7,E1 ,"September 26, 2013",7.8
137,S7,E2 ,"September 26, 2013",7.9
138,S7,E3 ,"October 3, 2013",8.7
139,S7,E4 ,"October 10, 2013",7.9
140,S7,E5 ,"October 17, 2013",7.6
141,S7,E6 ,"October 24, 2013",8.4
142,S7,E7 ,"November 7, 2013",7.7
143,S7,E8 ,"November 14, 2013",7.5
144,S7,E9 ,"November 21, 2013",8.8
145,S7,E10 ,"December 5, 2013",7.6
146,S7,E11 ,"December 12, 2013",8.1
147,S7,E12 ,"January 2, 2014",7.4
148,S7,E13 ,"January 9, 2014",7.5
149,S7,E14 ,"January 30, 2014",7.9
150,S7,E15 ,"February 6, 2014",8.2
151,S7,E16 ,"February 27, 2014",7.6
152,S7,E17 ,"March 6, 2014",7.4
153,S7,E18 ,"March 13, 2014",7.4
154,S7,E19 ,"April 3, 2014",8.1
155,S7,E20 ,"April 10, 2014",8.0
156,S7,E21 ,"April 24, 2014",7.5
157,S7,E22 ,"May 1, 2014",7.7
158,S7,E23 ,"May 8, 2014",7.8
159,S7,E24 ,"May 15, 2014",8.0
160,S8,E1 ,"September 22, 2014",7.2
161,S8,E2 ,"September 22, 2014",7.5
162,S8,E3 ,"September 29, 2014",7.0
163,S8,E4 ,"October 6, 2014",7.2
164,S8,E5 ,"October 13, 2014",7.5
165,S8,E6 ,"October 20, 2014",7.2
166,S8,E7 ,"October 30, 2014",7.7
167,S8,E8 ,"November 6, 2014",8.0
168,S8,E9 ,"November 13, 2014",7.5
169,S8,E10 ,"November 20, 2014",7.0
170,S8,E11 ,"December 11, 2014",7.4
171,S8,E12 ,"January 8, 2015",7.2
172,S8,E13 ,"January 29, 2015",7.4
173,S8,E14 ,"February 5, 2015",8.0
174,S8,E15 ,"February 19, 2015",8.0
175,S8,E16 ,"February 26, 2015",7.8
176,S8,E17 ,"March 5, 2015",7.5
177,S8,E18 ,"March 12, 2015",7.3
178,S8,E19 ,"April 2, 2015",7.5
179,S8,E20 ,"April 9, 2015",7.5
180,S8,E21 ,"April 16, 2015",7.0
181,S8,E22 ,"April 23, 2015",7.3
182,S8,E23 ,"April 30, 2015",7.5
183,S8,E24 ,"May 7, 2015",7.9
184,S9,E1 ,"September 21, 2015",6.8
185,S9,E2 ,"September 28, 2015",7.3
186,S9,E3 ,"October 5, 2015",7.7
187,S9,E4 ,"October 12, 2015",7.4
188,S9,E5 ,"October 19, 2015",7.4
189,S9,E6 ,"October 26, 2015",7.2
190,S9,E7 ,"November 5, 2015",7.9
191,S9,E8 ,"November 12, 2015",7.9
192,S9,E9 ,"November 19, 2015",7.8
193,S9,E10 ,"December 10, 2015",8.3
194,S9,E11 ,"December 17, 2015",9.0
195,S9,E12 ,"January 7, 2016",7.4
196,S9,E13 ,"January 14, 2016",7.4
197,S9,E14 ,"February 4, 2016",7.5
198,S9,E15 ,"February 11, 2016",7.5
199,S9,E16 ,"February 18, 2016",7.4
200,S9,E17 ,"February 25, 2016",7.5
201,S9,E18 ,"March 10, 2016",7.5
202,S9,E19 ,"March 31, 2016",7.4
203,S9,E20 ,"April 7, 2016",7.4
204,S9,E21 ,"April 21, 2016",7.4
205,S9,E22 ,"April 28, 2016",7.4
206,S9,E23 ,"May 5, 2016",7.3
207,S9,E24 ,"May 12, 2016",7.8
208,S10,E1 ,"September 19, 2016",7.7
209,S10,E2 ,"September 26, 2016",7.3
210,S10,E3 ,"October 3, 2016",7.2
211,S10,E4 ,"October 10, 2016",7.9
212,S10,E5 ,"October 17, 2016",7.4
213,S10,E6 ,"October 27, 2016",7.4
214,S10,E7 ,"November 3, 2016",7.9
215,S10,E8 ,"November 10, 2016",8.0
216,S10,E9 ,"November 17, 2016",7.4
217,S10,E10 ,"December 1, 2016",7.3
218,S10,E11 ,"December 15, 2016",7.5
219,S10,E12 ,"January 5, 2017",7.3
220,S10,E13 ,"January 19, 2017",6.9
221,S10,E14 ,"February 2, 2017",7.2
222,S10,E15 ,"February 9, 2017",7.3
223,S10,E16 ,"February 16, 2017",7.1
224,S10,E17 ,"February 23, 2017",7.4
225,S10,E18 ,"March 9, 2017",7.1
226,S10,E19 ,"March 30, 2017",7.1
227,S10,E20 ,"April 6, 2017",7.2
228,S10,E21 ,"April 13, 2017",7.2
229,S10,E22 ,"April 27, 2017",6.8
230,S10,E23 ,"May 4, 2017",7.1
231,S10,E24 ,"May 11, 2017",8.5
232,S11,E1 ,"September 25, 2017",7.5
233,S11,E2 ,"October 2, 2017",7.2
234,S11,E3 ,"October 9, 2017",7.0
235,S11,E4 ,"October 16, 2017",7.1
236,S11,E5 ,"October 23, 2017",7.3
237,S11,E6 ,"November 2, 2017",7.2
238,S11,E7 ,"November 9, 2017",7.4
239,S11,E8 ,"November 16, 2017",7.1
240,S11,E9 ,"November 30, 2017",7.7
241,S11,E10 ,"December 7, 2017",7.3
242,S11,E11 ,"December 14, 2017",7.1
243,S11,E12 ,"January 4, 2018",7.4
244,S11,E13 ,"January 11, 2018",7.2
245,S11,E14 ,"January 18, 2018",7.2
246,S11,E15 ,"February 1, 2018",7.4
247,S11,E16 ,"March 1, 2018",7.1
248,S11,E17 ,"March 8, 2018",6.8
249,S11,E18 ,"March 29, 2018",7.1
250,S11,E19 ,"April 5, 2018",7.2
251,S11,E20 ,"April 12, 2018",7.1
252,S11,E21 ,"April 19, 2018",7.4
253,S11,E22 ,"April 26, 2018",7.2
254,S11,E23 ,"May 3, 2018",7.7
255,S11,E24 ,"May 10, 2018",8.9
256,S12,E1 ,"September 24, 2018",7.2
257,S12,E2 ,"September 27, 2018",7.6
258,S12,E3 ,"October 4, 2018",7.2
259,S12,E4 ,"October 11, 2018",7.0
260,S12,E5 ,"October 18, 2018",6.8
261,S12,E6 ,"October 25, 2018",8.2
262,S12,E7 ,"November 1, 2018",7.3
263,S12,E8 ,"November 8, 2018",7.3
264,S12,E9 ,"November 15, 2018",7.2
265,S12,E10 ,"December 6, 2018",7.4
266,S12,E11 ,"January 3, 2019",7.2
267,S12,E12 ,"January 10, 2019",7.1
268,S12,E13 ,"January 17, 2019",7.1
269,S12,E14 ,"January 31, 2019",7.0
270,S12,E15 ,"February 7, 2019",7.4
271,S12,E16 ,"February 21, 2019",7.9
272,S12,E17 ,"March 7, 2019",7.1
273,S12,E18 ,"April 4, 2019",7.1
274,S12,E19 ,"April 18, 2019",6.9
275,S12,E20 ,"April 25, 2019",7.1
276,S12,E21 ,"May 2, 2019",7.2
277,S12,E22 ,"May 9, 2019",7.9
278,S12,E23 ,"May 16, 2019",9.0
279,S12,E24 ,"May 16, 2019",9.5
