,이름,구,주소,상표,휘발유 가격,경유 가격,세차장,충전소,경정비,편의점,24시영업
0,(주)보성 세곡주유소,강남구,서울 강남구  헌릉로 731 (세곡동),SK에너지,"1,719","1,599",o,x,x,x,x
1,HD현대오일뱅크㈜직영 산성셀프주유소,강남구,서울 강남구 헌릉로 730,HD현대오일뱅크,"1,739","1,600",o,x,x,x,x
2,방죽주유소,강남구,서울 강남구 밤고개로 215 (율현동),GS칼텍스,"1,757","1,659",o,x,x,x,x
3,자곡셀프주유소,강남구,서울 강남구 밤고개로 120 (자곡동),SK에너지,"1,761","1,664",o,x,x,x,x
4,HD현대오일뱅크㈜직영 도곡셀프주유소,강남구,서울 강남구  남부순환로 2718 (도곡2동),HD현대오일뱅크,"1,769","1,659",o,x,o,x,x
5,오일프러스 셀프,강남구,서울 강남구 남부순환로 2651 (도곡동),SK에너지,"1,780","1,674",o,x,o,x,o
6,HD현대오일뱅크㈜직영 유진주유소,강남구,서울 강남구 논현로 152 (도곡동),HD현대오일뱅크,"1,784","1,674",o,x,o,x,x
7,SK서광주유소,강남구,서울 강남구 역삼로 142,SK에너지,"1,795","1,695",o,x,o,x,o
8,극동유화㈜ 개나리주유소,강남구,서울 강남구 언주로 423 (역삼동),S-OIL,"1,800","1,684",o,x,o,x,o
9,(주)선진도곡주유소,강남구,서울 강남구 도곡로 162 (도곡동),S-OIL,"1,809","1,719",o,x,o,x,x
10,(주)중앙에너비스 수서지점,강남구,서울 강남구 광평로 202 (수서동),SK에너지,"1,815","1,697",o,x,x,x,x
11,일원주유소,강남구,서울 강남구 양재대로55길 3 (일원동),S-OIL,"1,815","1,719",x,x,x,x,x
12,지에스칼텍스㈜에너지플러스허브GS타워,강남구,서울 강남구 논현로 516 (역삼동),GS칼텍스,"1,819","1,789",x,x,o,x,o
13,대교셀프주유소,강남구,서울 강남구 강남대로 640 (신사동),SK에너지,"1,820","1,780",x,x,x,x,o
14,삼성동주유소,강남구,서울 강남구 테헤란로 619 (삼성동),HD현대오일뱅크,"1,825","1,725",o,x,x,x,x
15,SK에너지㈜ 진달래주유소,강남구,서울 강남구 도곡로 208,SK에너지,"1,839","1,769",o,x,x,x,x
16,SK에너지(주) 매봉주유소,강남구,서울 강남구 언주로 307,SK에너지,"1,849","1,789",o,x,o,x,x
17,(유)동하석유 힐탑셀프주유소,강남구,서울 강남구 논현로 640,SK에너지,"1,857","1,797",o,x,x,x,o
18,대동석유 압구정주유소,강남구,서울 강남구 언주로 842 (신사동),SK에너지,"1,867","1,797",o,x,x,x,o
19,에스제이에너지산업(주) 개포주유소,강남구,서울 강남구 양재대로 339,GS칼텍스,"1,898","1,858",o,x,x,x,x
20,HD현대오일뱅크㈜직영 신사현대주유소,강남구,서울 강남구 도산대로 163 (신사동),HD현대오일뱅크,"2,018","1,949",o,x,x,x,x
21,지에스칼텍스㈜ 은마주유소,강남구,서울 강남구 영동대로 235,GS칼텍스,"2,030","1,935",o,x,o,x,o
22,HD현대오일뱅크㈜직영 한양주유소,강남구,서울 강남구 압구정로 302 (신사동),HD현대오일뱅크,"2,088","2,024",o,x,x,x,x
23,지에스칼텍스(주)학여울주유소,강남구,서울 강남구 남부순환로 3170 (일원2동),GS칼텍스,"2,098","1,999",o,x,x,x,x
24,지에스칼텍스㈜ 삼성로주유소,강남구,서울 강남구 삼성로 563 (삼성동),GS칼텍스,"2,130","1,999",o,x,x,x,o
25,대성석유(주)동호주유소,강남구,서울 강남구 봉은사로113길 51,GS칼텍스,"2,149","2,042",o,x,x,x,x
26,대청주유소,강남구,서울 강남구 개포로 654 (일원동),SK에너지,"2,226","2,119",o,x,x,x,x
27,명품주유소,강남구,서울 강남구 도곡로 249 (역삼동),S-OIL,"2,238","2,057",o,x,x,x,o
28,(주)소모 쎈트럴주유소,강남구,서울 강남구 삼성로 335,GS칼텍스,"2,247","2,137",o,x,x,x,x
29,㈜새서울석유 새서울주유소,강남구,서울 강남구 압구정로 154,HD현대오일뱅크,"2,258","2,098",o,x,x,x,o
30,갤러리아주유소,강남구,서울 강남구 압구정로 426,SK에너지,"2,280","2,139",o,x,x,x,x
31,SK논현주유소,강남구,서울 강남구 논현로 747 (논현동),SK에너지,"2,283","2,135",o,x,o,x,o
32,(주)제이제이네트웍스 제이제이주유소,강남구,서울 강남구 언주로 716,HD현대오일뱅크,"2,398","2,197",o,x,x,x,o
33,(주)만정에너지 삼보주유소,강남구,서울 강남구 봉은사로 433 (삼성동),GS칼텍스,"2,578","2,540",o,x,x,x,x
34,재건에너지 재정제2주유소 고속셀프지점,강동구,서울특별시 강동구  천호대로 1246 (둔촌제2동),HD현대오일뱅크,"1,749","1,639",o,x,x,x,x
35,구천면주유소,강동구,서울 강동구 구천면로 357 (암사동),HD현대오일뱅크,"1,774","1,655",x,x,x,x,x
36,방아다리주유소,강동구,서울 강동구 동남로 811 (명일동),SK에너지,"1,785","1,685",o,x,x,x,x
37,주)지유에너지직영 오렌지주유소,강동구,서울 강동구 성안로 102 (성내동),SK에너지,"1,785","1,685",o,x,o,x,x
38,명일주유소,강동구,서울 강동구 고덕로 168 (명일동),SK에너지,"1,785","1,685",x,x,x,x,x
39,(주)삼표에너지 고덕주유소,강동구,서울 강동구 고덕로 39 (암사동),GS칼텍스,"1,785","1,665",o,x,x,o,x
40,(주)소모 신월주유소,강동구,서울 강동구 양재대로 1323 (성내동),GS칼텍스,"1,786","1,668",o,x,x,x,x
41,(주)퍼스트오일 코알라주유소,강동구,서울특별시 강동구  올림픽로 556 (성내동),S-OIL,"1,790","1,670",o,x,x,x,x
42,대성석유(주)길동주유소,강동구,서울 강동구 천호대로 1168,GS칼텍스,"1,796","1,688",o,x,x,x,x
43,(주)소모 성내주유소,강동구,서울 강동구 올림픽로 578 (성내동),GS칼텍스,"1,798","1,698",o,x,o,x,x
44,sk해뜨는주유소,강동구,서울 강동구  상일로 132 (강일동),SK에너지,"1,799","1,699",o,x,o,x,x
45,지에스칼텍스㈜ 동서울주유소,강동구,서울 강동구 천호대로 1456 (상일동),GS칼텍스,"1,821","1,724",o,x,x,x,x
46,천호현대주유소,강동구,서울 강동구 천중로 67 (천호동),HD현대오일뱅크,"1,985","1,835",o,x,o,x,x
47,광성주유소,강동구,서울 강동구 올림픽로 673 (천호동),S-OIL,"2,068","1,998",o,x,o,x,o
48,수유동주유소,강북구,서울 강북구 도봉로 395 (수유동),GS칼텍스,"1,726","1,586",o,x,x,x,o
49,덕릉로주유소,강북구,서울 강북구 덕릉로 158 (번동),S-OIL,"1,735","1,595",o,x,x,x,x
50,㈜지에스이앤알 미아주유소,강북구,서울 강북구 도봉로 122 (미아동),GS칼텍스,"1,735","1,605",o,x,x,x,x
51,(주)석산에너지,강북구,서울 강북구 삼양로 316 (수유동),HD현대오일뱅크,"1,739","1,579",x,x,x,x,x
52,(주)서울에너지 시민주유소,강북구,서울 강북구 인수봉로 185 (수유동),HD현대오일뱅크,"1,739","1,579",x,x,x,x,x
53,씨앤에스유통㈜ 미아셀프주유소,강북구,서울 강북구 도봉로 200 (미아동),S-OIL,"1,745","1,625",o,x,x,x,x
54,HD현대오일뱅크㈜직영 번동셀프주유소,강북구,서울 강북구 한천로 963 (번동),HD현대오일뱅크,"1,747","1,597",o,x,o,x,o
55,북서울고속주유소,강북구,서울 강북구 삼양로 410 (수유동),SK에너지,"1,759","1,629",x,x,x,x,o
56,세원주유소,강북구,서울 강북구 한천로 918 (번동),SK에너지,"1,768","1,628",o,x,x,x,x
57,대성석유(주)신광주유소,강북구,서울 강북구 삼양로 484,GS칼텍스,"1,779","1,639",o,x,o,x,x
58,SK에너지(주) 매일주유소,강북구,서울 강북구 삼양로 217 (미아동),SK에너지,"1,779","1,629",o,x,x,o,x
59,에덴주유소,강북구,서울 강북구 월계로 195 (번동),SK에너지,"1,787","1,667",o,x,o,x,x
60,화곡역주유소,강서구,서울 강서구 강서로 154 (화곡동),알뜰주유소,"1,696","1,587",x,x,x,x,o
61,이케이에너지(주) 강서주유소,강서구,서울 강서구 화곡로 273 (화곡동),HD현대오일뱅크,"1,696","1,587",o,x,o,x,x
62,목화주유소,강서구,서울 강서구 국회대로 251 (화곡동),알뜰주유소,"1,708","1,597",o,x,x,x,x
63,(주)뉴신정주유소,강서구,서울 강서구 곰달래로 207 (화곡동),알뜰주유소,"1,714","1,595",x,x,x,x,x
64,유턴주유소,강서구,서울 강서구 남부순환로 57,알뜰주유소,"1,729","1,619",x,x,x,x,x
65,(주)타이거오일 방화주유소,강서구,서울 강서구 방화동로 58-2 (방화동),SK에너지,"1,733","1,623",x,x,x,x,x
66,지에스칼텍스㈜ 경인고속주유소,강서구,서울 강서구 국회대로 225 (화곡동),GS칼텍스,"1,734","1,607",o,o,o,x,o
67,신화곡주유소,강서구,서울 강서구 국회대로 71,S-OIL,"1,735","1,625",o,x,x,x,x
68,강서오곡셀프주유소,강서구,서울 강서구 벌말로 254 (오곡동),SK에너지,"1,735","1,615",o,x,x,x,o
69,HD현대오일뱅크㈜직영 가양주유소,강서구,서울 강서구  양천로 391 (가양동),HD현대오일뱅크,"1,738","1,623",o,x,x,x,x
70,스카이주유소,강서구,서울 강서구 개화동로 457 (방화동),S-OIL,"1,739","1,634",x,x,x,o,o
71,행촌에너지 공항주유소,강서구,서울 강서구 개화동로 420 (개화동),HD현대오일뱅크,"1,739","1,634",o,x,o,o,o
72,KH에너지(주)직영 KH외발산주유소,강서구,서울 강서구 방화대로 30,SK에너지,"1,745","1,625",o,o,o,o,x
73,(주)한진 김포공항주유소,강서구,서울 강서구 하늘길 259,S-OIL,"1,750","1,650",o,x,x,x,x
74,현대오일뱅크 등촌주유소,강서구,서울 강서구 등촌로 189 (등촌동),HD현대오일뱅크,"1,756","1,626",o,x,x,x,x
75,오션네트웍스(주) 서울식물원지점,강서구,서울 강서구 양천로 300,SK에너지,"1,756","1,638",x,x,x,x,x
76,개화주유소,강서구,서울 강서구 양천로 57,SK에너지,"1,757","1,647",o,x,x,x,x
77,HD현대오일뱅크㈜직영 양화교셀프주유소,강서구,서울 강서구 공항대로 653,HD현대오일뱅크,"1,758","1,629",o,x,x,x,x
78,화곡현대주유소,강서구,서울 강서구 강서로 151 (화곡동),SK에너지,"1,764","1,636",o,x,x,x,o
79,세원제1주유소,강서구,서울 강서구 양천로 311 (가양동),SK에너지,"1,768","1,640",o,x,o,x,x
80,강서열린주유소,강서구,서울 강서구 등촌로 213 (등촌동),GS칼텍스,"1,778","1,648",o,x,x,x,x
81,우장산주유소,강서구,서울 강서구 강서로 292 (내발산동),SK에너지,"1,785","1,657",x,x,x,x,x
82,대성석유(주) 관문주유소,강서구,서울 강서구 공항대로 314,GS칼텍스,"1,786","1,668",o,x,o,x,x
83,대성석유(주)방화대성주유소,강서구,서울 강서구 양천로 176,GS칼텍스,"1,786","1,658",o,x,x,o,x
84,대성석유(주) 마곡대성주유소,강서구,서울 강서구 강서로 457,GS칼텍스,"1,786","1,658",x,x,x,x,x
85,대성주유소,강서구,서울 강서구 강서로 472,GS칼텍스,"1,798","1,668",o,x,o,x,x
86,SK KH에너지 가양주유소,강서구,서울 강서구 강서로 498 (가양동),SK에너지,"1,798","1,668",o,x,o,o,o
87,박물관주유소,강서구,서울 강서구 양천로53길 97 (가양동),GS칼텍스,"1,798","1,668",o,x,o,o,x
88,(주)한진 김포공항제2주유소,강서구,서울 강서구 하늘길 112,S-OIL,"1,811","1,695",x,x,x,x,x
89,코리나(주)청룡주유소,강서구,서울 강서구 양천로 576,SK에너지,"1,828","1,698",o,x,x,x,x
90,하이웨이주유소,강서구,서울특별시 강서구 공항대로 432(화곡동),S-OIL,"1,849","1,712",o,x,x,o,o
91,참솔에너지,강서구,서울 강서구 벌말로 281 (오곡동),S-OIL,"1,965","1,865",o,x,x,x,x
92,염창동주유소,강서구,서울 강서구 양천로 720 (염창동),SK에너지,"2,068","1,943",o,x,x,x,x
93,HD현대오일뱅크㈜직영 문성골주유소,관악구,서울 관악구 문성로 97 (신림동),HD현대오일뱅크,"1,729","1,649",o,x,x,x,x
94,(주)엠오티이엔지 직영 삼화주유소,관악구,서울 관악구 보라매로 41,HD현대오일뱅크,"1,739","1,639",x,x,x,x,x
95,HD현대오일뱅크㈜직영 관악셀프주유소,관악구,서울 관악구 남부순환로 1520 (신림동),HD현대오일뱅크,"1,739","1,654",x,x,x,x,x
96,(주)연우에너지 신관주유소,관악구,서울 관악구 신림로 290 (신림동),알뜰주유소,"1,739","1,639",o,x,x,x,x
97,현대주유소,관악구,서울 관악구 난곡로 108 (신림동),HD현대오일뱅크,"1,746","1,646",x,x,x,x,x
98,(주)한유에너지행운셀프주유소,관악구,서울 관악구 남부순환로 1883 (봉천동),SK에너지,"1,755","1,655",o,x,x,x,x
99,대양석유(주)직영 보라매주유소,관악구,서울 관악구  보라매로 26 (봉천동),SK에너지,"1,759","1,659",o,x,x,x,x
100,서일석유(주)락성주유소,관악구,서울 관악구 남부순환로 1920 (봉천동),GS칼텍스,"1,765","1,665",o,x,o,x,o
101,SK에너지(주) 신봉천,관악구,서울 관악구 남부순환로 1880 (봉천동),SK에너지,"1,765","1,675",o,x,x,o,x
102,SK에너지(주)직영 대공원주유소,관악구,서울 관악구 과천대로 921 (남현동),SK에너지,"1,765","1,675",o,x,o,o,x
103,유림주유소,관악구,서울 관악구 신림로 176 (신림동),S-OIL,"1,768","1,668",o,x,o,x,o
104,관악시몬주유소,관악구,서울특별시 관악구 남부순환로 1753 (봉천동),S-OIL,"1,796","1,696",o,x,x,x,x
105,CJ대한통운㈜ 신림주유소,관악구,서울 관악구 남부순환로 1515 (신림동),GS칼텍스,"1,858","1,728",o,x,x,x,x
106,지에스칼텍스㈜ 난곡주유소,관악구,서울 관악구 난곡로 206,GS칼텍스,"1,889","1,754",x,x,x,x,x
107,태양주유소,광진구,서울 광진구 동일로 345 (중곡동),HD현대오일뱅크,"1,734","1,604",x,x,x,x,o
108,HD현대오일뱅크㈜직영 능동주유소,광진구,서울 광진구 천호대로 584 (능동),HD현대오일뱅크,"1,745","1,585",o,x,o,x,o
109,(주)창원CW,광진구,서울 광진구 광나루로 460 (화양동),HD현대오일뱅크,"1,745","1,585",o,x,x,x,x
110,용마주유소,광진구,서울 광진구 용마산로 68 (중곡동),GS칼텍스,"1,746","1,599",x,x,x,x,x
111,대원주유소,광진구,서울 광진구 용마산로 122 (중곡동),S-OIL,"1,746","1,599",x,x,x,x,x
112,정해네트웍스(주)일진주유소,광진구,서울 광진구 동일로 413 (중곡동),S-OIL,"1,747","1,627",o,x,x,x,o
113,(주)장수주유소,광진구,서울 광진구 동일로 266 (군자동),SK에너지,"1,754","1,585",x,x,o,x,o
114,HD현대오일뱅크㈜직영 중원셀프주유소,광진구,서울 광진구 동일로 398 (중곡동),HD현대오일뱅크,"1,757","1,598",o,x,x,x,x
115,HD현대오일뱅크㈜직영 중곡현대주유소,광진구,서울 광진구 동일로 435 (중곡동),HD현대오일뱅크,"1,757","1,598",o,x,x,x,x
116,HD현대오일뱅크㈜직영 장호셀프주유소,광진구,서울 광진구 자양로 37 (자양동),HD현대오일뱅크,"1,759","1,575",o,x,o,x,x
117,삼호주유소,광진구,서울 광진구 천호대로 809 (광장동),S-OIL,"1,847","1,697",o,x,x,x,o
118,유니스에너지 자양주유소,광진구,서울 광진구 아차산로 298 (자양동),SK에너지,"1,858","1,698",o,x,x,x,o
119,강평주유소,광진구,서울 광진구 아차산로 616 (광장동),SK에너지,"1,897","1,768",o,x,x,x,o
120,신성주유소,구로구,서울 구로구 구로동로 187 (구로제2동),HD현대오일뱅크,"1,726","1,616",o,x,x,x,x
121,(주)한미석유구로그린주유소,구로구,서울 구로구 구로중앙로 76 (구로동),GS칼텍스,"1,727","1,616",o,x,o,x,x
122,HD현대오일뱅크㈜직영 구로셀프주유소,구로구,서울 구로구 시흥대로 531,HD현대오일뱅크,"1,739","1,654",o,x,o,x,o
123,극동유화(주) 항동주유소,구로구,서울 구로구 서해안로 2154 (항동),S-OIL,"1,745","1,635",o,x,x,x,x
124,남선석유(주)풀페이주유소,구로구,서울 구로구 경인로 41 (온수동),S-OIL,"1,745","1,635",o,x,x,x,x
125,대성산업(주)디큐브주유소,구로구,서울 구로구 경인로 650 (신도림동),GS칼텍스,"1,745","1,625",x,x,x,x,o
126,HD현대오일뱅크㈜직영 신오류주유소,구로구,서울 구로구 경인로 161 (오류동),HD현대오일뱅크,"1,747","1,619",o,x,o,x,x
127,구인주유소,구로구,서울 구로구 경인로 558 (구로동),SK에너지,"1,754","1,634",o,x,o,o,x
128,SK구로주유소,구로구,서울 구로구 구일로 94 (구로동),SK에너지,"1,754","1,634",o,x,x,x,x
129,HD현대오일뱅크㈜직영 신구로주유소,구로구,서울 구로구 가마산로 293 (구로동),HD현대오일뱅크,"1,759","1,604",o,x,x,x,x
130,서서울고속주유소,구로구,서울 구로구 경인로 150 (오류동),SK에너지,"1,759","1,659",o,x,x,x,o
131,개봉주유소,구로구,서울 구로구 고척로 115 (개봉동),HD현대오일뱅크,"1,767","1,657",o,x,x,x,x
132,SK에너지(주)직영 개봉동주유소,구로구,서울 구로구 경인로 290 (개봉동),SK에너지,"1,767","1,659",o,x,x,x,x
133,영진주유소,구로구,서울 구로구 구로동로 20 (가리봉동),S-OIL,"1,797","1,687",x,x,x,x,x
134,대원셀프주유소,구로구,서울 구로구 개봉로 7,HD현대오일뱅크,"1,797","1,677",o,x,x,x,x
135,JHC에너지,구로구,서울 구로구 시흥대로 539,HD현대오일뱅크,"1,825","1,695",x,x,o,x,x
136,근린공원주유소,구로구,서울 구로구 고척로 199 (고척동),S-OIL,"1,827","1,687",o,x,x,x,x
137,동아주유소,구로구,서울 구로구 도림로 91 (구로동),S-OIL,"1,958","1,758",x,x,x,o,x
138,구로주유소,구로구,서울 구로구 구로동로 137 (구로동),GS칼텍스,"2,246","2,098",x,x,x,x,x
139,HD현대오일뱅크㈜직영 금천현대셀프주유소,금천구,서울 금천구 독산로 147 (시흥동),HD현대오일뱅크,"1,719","1,639",o,x,x,x,x
140,(주)백운주유소,금천구,서울 금천구 시흥대로 282 (독산동),알뜰주유소,"1,724","1,655",x,x,x,x,x
141,구광주유소,금천구,서울 금천구 서부샛길 674 (가산동),S-OIL,"1,725","1,605",o,x,x,x,x
142,백산주유소,금천구,서울특별시 금천구  시흥대로 174 (시흥동),S-OIL,"1,735","1,675",o,x,o,x,x
143,대득에너지(금천셀프주유소),금천구,서울 금천구  시흥대로 81 (시흥동),GS칼텍스,"1,735","1,675",o,x,x,o,o
144,(주)화동유업 화동주유소,금천구,서울 금천구 시흥대로 484,SK에너지,"1,737","1,663",o,x,x,x,x
145,현대오일뱅크㈜직영 금천제일주유소,금천구,서울 금천구 남부순환로 1410 (독산동),HD현대오일뱅크,"1,749","1,659",o,x,x,x,x
