,Unnamed: 0,회사이름,급여,경력,학력,스킬,채용 포지션,담당업무,지원자격,우대사항
0,0,㈜티라로보틱스,회사 내규에 따름,무관,초대졸 이상,"C/C++, Python, Linux, ROS",로봇 필드 엔지니어,"로봇 설치
주행환경 map, 경로 설계/구축
현장 시나리오 설계/구축
고객 교육
유지보수, 점검, 이슈조치","Python 초급 이상, Linux 가능자
현장 의사소통 역량 보유자 
운전가능자
기계공학, 전기 및 전자공학, 컴퓨터 공학 등 관련 학과 전공자","자동화 설비, 로봇 설치/운영/수리 경력
Linux, DOCKER 경력
로봇을 좋아하는 엔지니어"
1,1,㈜티라로보틱스,회사 내규에 따름,무관,초대졸 이상,"C/C++, Python, Linux, ROS",로봇 미들웨어 sw 개발,"로봇 미들웨어 sw개발
ROS 기반 제어 프로그램 개발
시나리오 task unit개발
로봇 시스템 프로그램
구동제어, 센서 장치 드라이버 개발
리눅스 시스템 관리","C/C++ 또는 Python 중급 이상
리눅스 시스템에 대한 이해 및 프로그램 개발 경력
기계, 컴퓨터, 로봇, 소프트웨어 공학 등 관련 학과 전공자","로보틱스 분야에 대한 이해 및 개발 경력
ROS/ROS2 개발 경력
통신 인터페이스 개발 경력"
2,2,㈜티라로보틱스,회사 내규에 따름,무관,초대졸 이상,"C/C++, Python, Linux, ROS",자율 주행 엔진 개발,"경로 생성 알고리즘 개발
모션 제어
object(사람, 사물, 로봇 및 그 외 정지 및 이동체)의 인지 및 추적","로보틱스 기술분야에 대한 이해 및 개발경험.
C/C++ & Python 중급이상.
ROS 또는 ROS2 사용 가능
기계, 컴퓨터, 로봇, 소프트웨어 공학 등 관련 학과 전공자","CUDA 프로그래밍 개발 경력
실내외 자율주행 개발 프로젝트 수행 경력 경력 2년 이상"
3,3,(주)유진로봇,회사 내규에 따름,8년 이상,석사 이상,"C/C++, Keras, Pytorch, Tensorflow, Ai, caffe, theano",청소로봇개발사업부 AI 엔지니어,"Computer Vision, Sound를 통한 Human/ Object Recognition Algorithm 분석 및 설계
AI 기능을 적용한 application 개발","인공지능 또는 관련학과 석사 이상
C/C++언어의 능숙한 사용(필수)
Image/Sound Classification 구현 경험
데이터 분석 툴 사용
-Machine Leaming 최신 논문 이해 및 설계 가능
Machine Leaming Framework 개발 유경험자(tensorflow, caffe, theano, pytorch, keras 등)","Machine Learning 관련 상용 제품 개발 경험자
Mobile platform 제어 유경험자
AI 기능에 대한 application level 개발 유경험자
영어로 기술 업무(Written & Spoken) 진행 가능한자"
4,4,(주)트위니,회사 내규에 따름,무관,무관,"HMI, Linux, 어셈블리",자율주행 로봇 S/W 개발자,"자율주행 로봇 알고리즘 개발(SLAM, 모션플래닝, 제어, 인지AI)","
공학계열학위 or 공학계열 지식","신호처리, 알고리즘, 컴퓨터, 로봇관련 분야 석사 이상 학위 보유자
모션플래닝, 컨트롤, 환경 인식 등 자율주행 로봇 관련 연구/실무 경험자
ROS 이용 경험
자율주행 로봇에 관심이 있으신 분"
5,5,엑스와이지,회사 내규에 따름,3년 이상,석사 이상,"C/C++, Python, Computer Vision, Image Processing, Machine Learning",AI로봇 비전 개발자,"XYZ의 비전 기반 Object Detection/Recognition 파트 개발
로봇 카페 Pickup zone 인식 알고리즘 개발
비전 기반 로봇 주변 환경 인식 (Top-down camera view, Gripper-mounted camera view)
비전 기반 로봇-사용자 상호작용 개발 (Human Robot Interaction)
2D/3D Detection, Tracking, Recognition, Reidentification, Mapping 알고리즘 연구 및 개발
인공지능 학습을 위한 비전 데이터 파이프라인 설계 및 구현","C/C++ 및 Python 기반 알고리즘 개발 경력 3년 이상
관련 분야의 석사 이상 학위를 보유하신 분
Computer vision, Image processing, Machine learning 등 관련 기술에 대한 전반적인 이해가 있으신 분
Linux, Git 기반의 개발 및 협업 경험이 있으신 분
다양한 직군의 구성원들과 협업하여 프로젝트를 이끌수 있는 역량을 갖추신 분","로봇공학, 컴퓨터공학, 전자공학, 기계공학 등 로보틱스 관련 분야의 석사/박사 학위를 보유하신 분
관련 분야의 개발 경력 5년 이상 혹은 그에 준하는 실력을 갖추신 분
관련 논문이나 기술 관련 문서를 이해하고 이를 바탕으로 구현이 가능하신 분
Machine Learning Framework 개발 경험자 (Tensorflow, Caffe, Theano, PyTorch, Keras 등)
Noise Robust, Occlusion, Data Imbalanced Problem에 관한 이해가 있으신 분
영어로 기술 업무(Written & Spoken) 진행 가능한 자
ROS/ROS2 기반 개발 경험이 있으신 분
ROS를 활용하여 Movelt Pacakge를 활용한 경험이 있으신 분
MuJoCo, IsaaC Sim 등 DynamiC simulator를 다뤄본 경험이 있으신 분"
6,6,텔레웍스,회사 내규에 따름,9년 이상,초대졸 이상,"Android,C/C++,Linux",로봇(안내/배송/물류 로봇 등) System 소프트웨어 개발,"Battery BMS 제어 / 충전, 방전 SW 개발 / 시스템
동작 모드별 소모 전류 최적화","학력 : 초대졸 이상
경력 : 경력9년 이상",NaN
7,7,가온그룹(주),회사 내규에 따름,무관,초대졸 이상,"Python,ROS,SLAM,알고리즘,Localization",로봇사업 부문,로봇 ROS 개발,"경력 : 무관
ROS(ROS1,2)에 대한 지식 또는 개발 유경험자
로봇의 구성과 제어에 대한 지식 또는 경험을 보유한 자","SLAM 및 네비게이션 개발 경험 보유자(알고리즘)
양산 개발 경험자"
8,8,(주)로보스타,회사 내규에 따름,3년 이상,대졸 이상,"C/C++, Linux",ROBOT SW 개발,"담당업무 로봇제어기 어플리케이션 개발
티칭펜던트 기능 추가 개발","학력 : 대졸 이상 (4년)
경력: 경력 3년 이상
필수 능력:
Linux 기반 C/C++ 프로그램 경험 필수
Real-time OS에 대한 전반적인 이해 필수
QT 개발 경험 및 TCP/IP 통신 프로토콜 개발 경험必","석사 이상 우대
관련 업무 경험자
Firmware 개발 업무 경험자
로봇 Hardware 회로 설계 경험자
EMC 고려한 회로 설계 경험자 -Analog 및 Digital 회로 해석 경험자 
장애인 및 국가보훈대상자"
9,9,㈔대덕이노폴리스벤처협회,회사 내규에 따름,무관,무관,NaN,로봇제어 및 기술대응,FAE/기술지원/로봇제어,"경력 : 무관
학력 : 무관","컴퓨터/시스템공학, 전기/전자/기계공학
메카트로닉스 Linux, Python 중 1개 이상 프로그래밍 유경험자
ROS/ROS2 유경험자"
10,10,㈔대덕이노폴리스벤처협회,회사 내규에 따름,무관,무관,NaN,로봇 디바이스 제어프로그래밍,ROS2 기반 센서네트워크 개발,NaN,"C++, 이누이노(C) 개발 가능자
컴퓨터/시스템공학, 전기/전자/기계공학
메카트로닉스 Linux, Python 중 1개 이상 프로그래밍 유경험자
ROS/ROS2 유경험자"
11,11,㈜에스티앤아이,"2,800~",무관,초대졸 이상,"C#,Net,API,Python,cad/cam,로봇,공정 시뮬레이션,로봇 시뮬레이션",로봇 및 공정 시뮬레이션 소프트웨어 개발자,"로봇 및 공정 시뮬레이션 지원
시뮬레이션 API 개발","학력 : 초대졸이상(경력무관)
경력 : 경력무관","차량소지자
전공 : 기계, 메카트로닉스, 로봇, 산업공학, 전산학, 컴퓨터공학"
12,12,에이지로보틱스,회사 내규에 따름,5년 이하,초대졸 이상,"Arduino, C/C++, MFC, OpenCV, Python, Visual Studio, AutoCAD, CATIA, 2D 설계",로봇 SW 및 알고리즘 개발,이동 로봇 전자 및 SW 개발,"전공: 전자/전기/제어계측/ 메카트로닉스/컴퓨터공학]
경력 : ~ 5년 이하 (사원, 대리, 팀원급)
OrCAD 사용 가능
기본적인 언어 등 프로그램 지식을 보유","전자회로 설계/MCU 개발 경험자
AI 비전처리 알고리즘 개발 경험자
로봇시스템 설계 경험자"
13,13,에이지로보틱스,회사 내규에 따름,5년 이하,초대졸 이상,"Arduino, C/C++, MFC, OpenCV, Python, Visual Studio, AutoCAD, CATIA, 2D 설계",HW 및 로봇시스템 개발,기구 메카니즘/부품 설계 및 제품 개발,"전공 : 기계공학, 기계설계, 메카트로닉스 분야
경력 : ~ 5년 이하 (사원, 대리, 팀원급)
2-D 도면작성 및 3-D 모델링","부품 및 기구장치의 설계, 제품개발 경험
로봇시스템 설계 경험자
Auto cad, CATIA 경험자"
14,14,(주)에스와이에스홀딩스,회사 내규에 따름,3년 이상,대졸 이상,"CAD,OrCAD,FW, SW",ICT융합 신제품 개발 및 분석,NaN,"학력 : 대졸이상 (졸업예정자 가능)
경력: 신입·경력3년 이상","석사학위 수여자
박사학위 수여자
전공 : 기계·메카트로닉스·로봇, 전기·전자공학, 전산학·컴퓨터공학"
15,15,(주)테솔로,"3,300~6,000",신입 또는 경력,대졸 이상,NaN,AI / 비전 시스템 개발 엔지니어,"물체별 3D 모델(Point Cloud)에 따른 그리퍼 픽 포인트(Pick-Point) 생성 알고리즘 개발 
물체 인식에 따른 그리퍼 파지 동작 추정","학력 : 대졸 이상 (졸업예정자 가능)
경력 : 신입 및 경력","강화학습을 기반으로 한 다관절 로봇 알고리즘 개발 경험이 있는 분 (또는 유사 경험이 있는 분)
로봇 연구실 경험이 있는 분
로봇 관련 업무 경험이 있는 분 (해당직무 근무경험)
컴퓨터/시스템공학, 공학 계열자
공모전 입상자
인근 거주자 (기업부설연구소 광명지사(근무지))"
16,16,클로봇,회사 내규에 따름,2년 이상,대졸 이상,"C++,Python",로봇 미들웨어 S/W 개발자,"다수 주행 로봇 교통관리 소프트웨어 개발
통신 인터페이스 구현
서비스 로봇 미들웨어 개발","C++ 또는 Python 을 통한 개발 가능하신 분
프로그램 설계, 디버깅, 자료구조/알고리즘 프로그래밍에 대한 능력","ROS/ROS 2 사용 경험
Multi-Thread 프로그램 개발 경험
Modern C++에 대한 이해 및 개발 경험
Python에 대한 높은 이해도
MQTT, ZeroMQ 등 통신 라이브러리 사용 경험
팀과의 협업을 중요하게 생각하는 사람"
17,17,로보티즈,회사 내규에 따름,1년 이상,대졸 이상,"C/C++,Reactjs,ROS/ROS2","로보틱스 소프트웨어 
시스템 및 태스크 제어","리눅스 시스템 관리 기능 개발
ROS 기반 프로그래밍","컴퓨터,전자제어, 로봇, 소프트웨어 공학 또는 관련학과의 학사 이상의 학위
C++ 프로그래밍 언어에 대한 이해 및 개발 경험","ROS2 관련 연구 경험
임베디드 시스템 관련 전공 지식
Arm 프로세서 활용 경험
Linux 환경에서의 알고리즘 개발 경 험"
18,18,로보티즈,회사 내규에 따름,1년 이상,대졸 이상,"C/C++,Reactjs,ROS/ROS2","로보틱스 소프트웨어
모바일 및 매니퓰레이터 제어",Mobile Manipulator Motion Control,"컴퓨터, 전자, 제어, 로봇, 소프트웨어 공학 또는 관련학과의 석사 이상의 학위 (석사/박사)
C++ 프로그래밍 언어에 대한 이해 및 개발 경험","ROS2 관련 연구 경험
Kinematics 관련 전공 지식
제어 관련 전공 지식"
19,19,로보티즈,회사 내규에 따름,3년 이상,대졸 이상,NaN,Sensor Fusion Engineer,"이종 센서 (Camera,LiDAR,Radar, IMU,GNSS 등)를 활용한 Localization 알고리즘 개발
자율주행을 위한 Sensor Data Filtering 알고리즘 개발
이종 센서 간 Data Association Calibration 기술 개발","컴퓨터, 전자, 제어, 로봇, 소프트웨어 공학 또는 관련 학과의 학위 (석사/박사)
Sensor Geometry Kalman, Particle Filter || 대한 이해
C/C++ 등의 프로그래밍 언어 활용 능 력 보유자","딥러닝 프레임워크(Pytorch, Tensorflow등) 에 대한 경험
딥러닝 모델 최적화에 대한 경험
Docker, 쿠버네티스 사용 경험 보유자
자율주행 프로젝트 경험 보유자"
20,20,로보티즈,회사 내규에 따름,3년 이상,대졸 이상,NaN,Local Navigation Engineer,"카메라 기반의 로컬 경로 생성 알고리즘 개발 
영상처리를 통한 카메라 센서 데이터 전/후처리
행동 트리 기반의 실시 간 내비게이션 프로세스 개발","컴퓨터, 전자, 제어, 로봇, 소프트웨어 공학 또는 관련 학과의 학위 (학사/석사/박 사)
A*, RRT, Potential Field Path Planning 알고리즘에 대한 이해 및 적용 경험
C/C++ 등의 프로그래밍 언어 활용 능 력 보유자","영상처리 기반의 Path Planning 알고리즘을 실제 애플리케이션에 적용한 경험 
자율주행 관련 프로젝트 수행 경험 CUDA 커널 프로그래밍 활용 경험
ROS / ROS 2 개발 경험"
21,21,로보티즈,회사 내규에 따름,3년 이상,대졸 이상,NaN,MLOps 파이프라인 개발,"학습 데이터 구조화/태깅/ 배포자동화 시스템 구축
딥러닝 모델 학습/평가자 동화 파이프라인 개발
네트워크 프로파일링을 통 한 딥러닝 모델 최적화","학사 이상의 로봇/컴퓨터/소프트웨어공학 계열 전공자
MLOps 구축 유경험자
OpenCV, Numpy, Pandas 등을 이용한 데 이터 처리 경험
Computer vision, image processing 관련 기술에 대한 이해
영상 정보 기반의 deep learning inference pipeline에 대한 이해
Python 이해 및 개발 능숙","딥러닝 프레임워크(Pytorch, Tensorflow 등)에 대한 경험
딥러닝 모델 최적화에 대한 경험
Docker, 쿠버네티스 사용 경험 보유자
자율주행 프로젝트 경험 보유자"
22,22,로보티즈,회사 내규에 따름,1년 이상,대졸 이상,"C/C++,CSS,HTML,Javascript,Python,TypeScript,Reactjs,ROS/ROS2","로봇 S/W 다중 로봇 통합 운용 제어
","다중 로봇 통합 운용 제어 S/W
-여러 대의 로봇이 충돌 없이 효율적인 운용이 가능하도록 교통제어 
다중 로봇 사이의 효율 적인 작업할당
외부 시스템(앱, 관제시스템, 타사 시스템 등)과 연계를 위한 로봇용 미들웨어 개발","다중 로봇 제어 알고리즘에 대한 이해
자료 구조 및 알고리즘 프로그래밍 에 대한 이해
C/C++ or Python 이해 및 개발 능숙","ROS/ROS2 개발 경험
행동 트리를 사용한 로봇 개발 경험
멀티로봇 태스크 스케줄링 소프트웨어 개발 경험
아키텍쳐 설계 및 Multi Agent 환경 개발 경험"
23,23,로보티즈,회사 내규에 따름,1년 이상,대졸 이상,"C/C++,CSS,HTML,Javascript,Python,TypeScript,Reactjs,ROS/ROS2",Front-End 로봇 관제 시스템 WEB,로봇 관제 시스템 WEB 개발,"React.js / Typescript 필수
HTML, CSS, Javascript에 대한 이해","JS 이외 다른 언어 경험
Back-End 개발 경험
Socket.io/실시간 서비스 사용 경험"
24,24,(주)고스트로보틱스테크놀로지,회사 내규에 따름,3년 이상,대졸 이상,NaN,로봇 및 인공지능 연구 개발,"무인 4족보행로봇 및 임무 장비 제어 (로봇팔 제어, 사족보행로봇제어)
로봇 임무 수행 AI 연구/개발
(SLAM, Path / motion planning, Collision avoidance, Object detection & tracking)
로봇 S/W 기술 지원","학력 : 석사이상 (기계, 전자, 소프트웨어 등)
경력: 경력3년↑
필수사항 : 영어 의사소통 가능자","OPIC IM3, TOEIC 815점, 토익스피킹IH, New TEPS 316점 이상 2년 이내 자격증 소지자)
SLAM, 딥러닝, 강화학습, 네트워크, 보안 등 하나이상의 전문성
Git를 통한 협업 가능자
로봇 및 AI 해외학회 논문 등재 경험 (IROS, ICRA, RAL, CVPR, ICML 등)"
25,25,(주)씨디알시스템,회사 내규에 따름,무관,무관,"C/C++, C#, Delphi",자동화 SW엔지니어,"이기종 다수의 로봇, 장비를 연결하여 제어하게 됩니다.
다양한 운용 시나리오를 바탕으로 최소 단위의 해결책을 만들어내고 고객을 통해 검증하며 시퀀스를 완성시켜 나갑니다.","무관, 경력 무관
Python API 경험
적어도 1개 이상의 윈도우 어플리케이션 개발환경 사용 (C, C++, C#, Delphi 중 1개 이상)","다종의 (협동)로봇시스템을 운용, 교육하기 위한 실무 경험
로봇과의 통신, 장비 간의 통신을 위한 지식 보유
Unity, CoppeliaSim 같은 물리시뮬레이션 툴에서 3D 모델을 구성할 수 있는 기능"
26,26,주식회사 루덴스파트너스 ,"4,000~10,000",5년 이상,대졸 이상,"C++, C#, Window, Linux, Net, Javascript, 
Cloud, Python, Visual Studio, ROS, Unity",기업부설연구소 로봇SW개발 연구원,"로봇SW개발 및 비전 인식 알고리즘 개발
주방 자동화 로봇 SW 개발 및 딥러닝, 강화학습 알고리즘 개발
(다관절 매니퓰레이터, 갠트리 로봇 등 활용한 로봇 조리 주방 자동화 SW 개발)
정부 수탁 연구 과제 수행자 우대
동역학 시뮬레이션 사용자 우대","학력 : 대졸이상(4년제, 석/박사 로봇공학 전공자 우대)
경력 : 5년 이상","로봇 전공 석사 및 박사학위 수여자
관련 학과 전공자
관련 자격증 보유자
유관업무 경력자 (5년)
대기업 근무 경험자
국가(공공)기관 연구원 출신자
영어가능자
중국어가능자
일본어가능자
컴퓨터활용능력 우수자
프리젠테이션 능력우수자
CAD/CAM 프로그램 능숙자
문서작성 우수자
장기근무 가능자
인근거주자
자격증 : SW코딩자격 1급, 로봇소프트웨어개발기사, SW테스트 전문가(CSTS) 고급등급(Advanced Level)
전공 : 기계·메카트로닉스·로봇, 전산학·컴퓨터공학, 응용소프트웨어공학"
27,27,(주)베이리스,회사 내규에 따름,5년 이상,대졸 이상,"C++, OpenCV, Python, Linux","Robot (로봇제어 및 자율주행) S/W 개발자
","Lv4 이상 자율주행 소프트웨어 개발 및 SDV개발을 위한 구책과제 주관
AI 비전 인식 기술을 기반으로 배송로봇 개발
AI기반 자율주행, 로봇 소프트웨어 개발, 로봇양산 관련 커리어패스","경력기간 : 경력 4년~8년
소프트웨어 개발 계열의 학사이상 학력소지자
Linux 상 SW개발 경험자
ROS/ROS2을 이용한 로봇SW 개발 경험자
로봇 시뮬레이션 경험자
SLAM 개발 경험자
C++/Python
ROS/ROS2
SLAM","국책 및 양산프로젝트 SW 개발 유경험자
사물인식 기능 개발 유경험자
CI/CD 유경험자"
28,28,큐렉소(주),회사 내규에 따름,2년 이상,대졸 이상,"API, C++",의료로봇 계획SW 개발 및 유지보수,-CUVIS-joint(관절수술로봇) 수술 계획 S/W 개발,"학력 : 학사 이상
-경력 : 2년 이상
C++ (표준 라이브러리) 개발 경력 2년 이상 또는 그에 준하는 지원자
VS Code 또는 Cmake 이용한 개발 경력 경험자","그래픽스(Numerical Recipes) API 활용한 개발 경험자
(Volume Rendering 이해 및 시뮬레이션 경험자)
의료영상처리 개발 경험자
자바 스크립트 사용 개발 경험자"
29,29,(주)제우스로보틱스,회사 내규에 따름,무관,대졸 이상,"Python, ROS2, Cpp",AGV/AMR 지능형 로봇 SW 개발경력자,"-자율주행 알고리즘 개발
지능형로봇 SW 개발 (ROS2 기반)","학력 : 대졸이상
경력 : 경력무관","유관업무 경력자 (3년)
인근거주자"
30,30,(주)인텔렉투스,회사 내규에 따름,3년 이상,무관,NaN,임베디드 리눅스 경력 개발자,"차량 컴퓨팅 플랫폼 기반 미들웨어 플랫폼 개발
임베디드 리눅스 기반 시스템 설계 및 개발
DDS 기반 메시징 처리 기술 개발
스트림 데이터 병렬처리 기술 개발","숙련된 Linux 시스템 관리자 기술
중급 프로그래밍/스크립팅 기술 (C/C++, Python, Rust 등)
네트워크 원리에 대한 이해 및 문제 해결 능력 (DNS, TCP/IP, HTTP)
데이터 구조 및 알고리즘의 기본적인 이해
ROS 기반의 소프트웨어 개발, 임베디드 시스템 개발 경험
Yocto 활용 경험","관련 실무 경력 또는 학위 소지자
Adaptive AUTOSAR 관련 경험
ROS2 기반 개발 경험
임베디드 리눅스 포팅 및 개발 환경 구축 경험"
31,31,(주)세오,회사 내규에 따름,NaN,대졸 이상,"C, C++, JAVA, Python, Linux OrCAD, pads, ROS, SLAM",로봇개발 미들웨어 회로설계 자율주행,"순찰 로봇 미들웨어 개발
순찰 로봇 자율주행
로봇 회로설계","대졸 이상
C/C++, Python
유관 업무 경력 2년 이상
ORCAD/PADS 사용가능
MCU 회로설계 경험
SLAM/자율주행
ubuntu","석사학과 우대
관련학과 전공자
로봇 개발 경험자
ROS 경험자"
32,32,에이알247(주),회사 내규에 따름,2년 이상,대졸 이상,"C++, Python, Ubuntu, Linux, ROS",자율주행 로봇 모션 제어 개발자,"Autonomous Robot Motion Control & Behavior Control
Path Planning, Lower level Controller, Behavior Control
MPC, PWM, PID, A*, HA*, Frenet, PP Control, ETC","학력 : 대졸이상
경력: 2 ~ 10년","C/C++
ROS
Mobile Robot Motion Control Engineer"
33,33,(주)제스엔지니어링,회사 내규에 따름,신입 또는 경력,대졸 이상,"C#, C++,java ,Python",AI 로봇(ROS) 인공지능 개발자,"서비스로봇 제어 플랫폼 개선
rcs 개발 및 유관 시스템 연동 개발","초대졸 이상 (졸업 예정자 가능)
신입 및 경력 10년 ↓","프로그램 개발 관련 학과
자격증(정보처리 산업기사, 정보처리 기사)
컴퓨터 활용능력 우수, 해당직무 근무경험
기획 및 시스템 설계 경험
ROS 활용가능자
모바일로봇 개발 경험자"
34,34,(주)트위니,회사 내규에 따름,무관,무관,NaN,로봇 관제 개발팀,"자율주행 로봇 관제 시스템의 핵심인 다중 로봇 관제 기술을 신뢰성있고 높은 성능으로 연구, 개발하는 것에 중점을 두고 있습니다.
다중 로봇 관제 기술을 통해 물류센터나 공장과 같은 환경을 로봇을 활용하여 자동화하고, 스마트 오피스를 구성하여 로봇과 공존하는 환경을 만들어갑니다.","다중 로봇 관제 분야에서 석사학위 혹은 이에 준하는 경력을 가지신 분
다중 로봇 관제 분야(MAPE, MAPD 등), 작업 할당 알고리즘 연구 유경험자
팀원과의 원활한 소통 및 협업 능력",다중 로봇 관제를 활용한 서비스 구축 및 운영 경험
